property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,emaar palm gardens,sector 83,1.8 Crore,9473.0,Super Built up area 1900(176.52 sq.m.),3,3,3+,9.0,South,1 to 5 Year Old,,1900.0,,,0,0,0,0,0,0,55
flat,breez global hill view,sohna road,29.99 Lac,5403.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,0 to 1 Year Old,,655.0,,555.0,0,0,0,0,0,0,109
flat,ambience creacions,sector 22,4.78 Crore,15469.0,Super Built up area 3090(287.07 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3,7.0,West,1 to 5 Year Old,,3090.0,2500.0,2250.0,0,1,0,0,1,2,111
flat,aipl zen residences,sector 70a,1.25 Crore,9904.0,Carpet area: 1262 (117.24 sq.m.),2,2,3,19.0,,undefined,,,,1262.0,0,0,0,0,0,0,0
flat,sare homes,sector 92,1.18 Crore,5207.0,Carpet area: 2266 (210.52 sq.m.),4,4,3,8.0,North,1 to 5 Year Old,,,,2266.0,0,1,0,0,0,0,108
flat,mapsko royale ville,sector 82,1.12 Crore,6256.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,North-East,1 to 5 Year Old,,1790.0,,1400.0,0,0,0,1,0,1,49
flat,palam vihar extension west zone rwa,sector 2,20 Lac,4000.0,Carpet area: 500 (46.45 sq.m.),1,1,1,1.0,,5 to 10 Year Old,,,,500.0,0,0,0,0,1,0,0
flat,imperia the esfera,sector 37c,99 Lac,5454.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,North-East,1 to 5 Year Old,,1815.0,,1510.0,0,1,0,0,0,0,49
flat,sbtl caladium,sector 109,1.88 Crore,6153.0,Super Built up area 3055(283.82 sq.m.),4,5,3,10.0,North-East,1 to 5 Year Old,,3055.0,,,0,0,0,0,0,0,110
flat,microtek greenburg,sector 86,1.93 Crore,8446.0,Super Built up area 2285(212.28 sq.m.),3,4,3,12.0,East,1 to 5 Year Old,,2285.0,,,0,1,0,0,0,0,72
flat,shapoorji pallonji joyville gurugram,sector 102,2.12 Crore,16960.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,9.0,,1 to 5 Year Old,,,1852.0,1250.0,0,0,0,0,0,0,72
house,,sector 12,0.7,6034.0,Plot area 1160(107.77 sq.m.),3,3,0,1.0,North-East,1 to 5 Year Old,1160.0,,1160.0,,0,0,0,0,0,0,23
house,,sector 55,7.49,27741.0,Plot area 300(250.84 sq.m.),12,12,3+,4.0,South-East,1 to 5 Year Old,2700.0,,300.0,,1,1,0,1,0,1,49
flat,orchid island,sector 51,1.7 Crore,10651.0,Carpet area: 1596 (148.27 sq.m.),3,4,3,2.0,West,5 to 10 Year Old,,,,1596.0,0,0,1,1,0,0,90
house,,sector 6,0.5,13889.0,Plot area 40(33.45 sq.m.),5,3,3,3.0,,10+ Year Old,360.0,,40.0,,0,0,0,0,0,0,0
flat,experion the heartsong,sector 108,1.2 Crore,6825.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1275.53 sq.ft. (118.5 sq.m.)Carpet area: 974.68 sq.ft. (90.55 sq.m.),3,3,3+,10.0,South,1 to 5 Year Old,,1758.0,1275.53,974.68,1,0,0,0,0,0,93
flat,jmd gardens,sector 33,3.25 Crore,7510.0,Carpet area: 4328 (402.08 sq.m.),4,4,3+,17.0,South-East,10+ Year Old,,,,4328.0,0,1,0,0,0,1,130
flat,signature global park,sohna road,56 Lac,6812.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,South,0 to 1 Year Old,,,,822.0,0,0,0,0,0,0,111
flat,tulip violet,sector 69,1.66 Crore,8408.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,South-East,1 to 5 Year Old,,1970.0,,,0,0,0,1,0,0,102
flat,ss,sector 85,2.14 Crore,7610.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,4,3,6.0,North,1 to 5 Year Old,,2812.0,2300.0,2000.0,1,1,0,1,0,0,49
flat,tata primanti,sector 72,4.25 Crore,13076.0,Super Built up area 3250(301.93 sq.m.),4,4,3+,0.0,North,1 to 5 Year Old,,3250.0,,,0,1,0,0,0,1,174
house,,sector 25,7.6,38760.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,1 to 5 Year Old,1961.0,,215.0,,1,0,1,1,0,1,84
flat,bptp terra,sector 37d,1.55 Crore,7074.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,3+,19.0,North-East,1 to 5 Year Old,,2191.0,2100.0,1800.0,0,0,0,0,1,1,131
flat,signature global solera,sector 107,60 Lac,8000.0,Built Up area: 750 (69.68 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),3,2,2,8.0,,undefined,,,750.0,650.0,0,0,0,0,0,0,55
house,,sector 12,1.2,14184.0,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,2,2.0,North,1 to 5 Year Old,846.0,,846.0,,0,0,0,1,0,1,7
flat,smart world orchard,sector 61,2.3 Crore,14110.0,Super Built up area 1630(151.43 sq.m.),3,3,2,2.0,,Jan 2024,,1630.0,,,1,0,0,0,0,0,79
flat,mvn athens,sohna road,27 Lac,5901.0,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0.0,,1 to 5 Year Old,,,,457.46574999999996,0,0,0,0,0,1,69
flat,avl 36 gurgaon,sector 36a,40 Lac,10204.0,Carpet area: 392 (36.42 sq.m.),1,1,1,4.0,West,1 to 5 Year Old,,,,392.0,0,0,0,0,0,0,35
flat,ss almeria,sector 84,1.48 Crore,7400.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1294 sq.ft. (120.22 sq.m.),3,3,2,1.0,South-West,0 to 1 Year Old,,2000.0,,1294.0,0,1,1,0,0,1,139
flat,paras dews,sector 106,1.35 Crore,8940.0,Carpet area: 1510 (140.28 sq.m.),4,3,3,19.0,,10+ Year Old,,,,1510.0,0,1,0,0,0,0,112
flat,signature global city 81,sector 81,80 Lac,14652.0,Carpet area: 546 (50.73 sq.m.),2,2,2,4.0,North,Feb 2024,,,,546.0,1,0,0,0,0,0,36
flat,deepak minda,manesar,1.25 Crore,4715.0,Carpet area: 2651 (246.29 sq.m.),4,4,3+,6.0,,5 to 10 Year Old,,,,2651.0,0,0,0,0,0,1,44
house,,sector 55,5.0,44444.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,0 to 1 Year Old,1125.0,,115.0,100.0,0,0,0,0,1,1,44
flat,umang monsoon breeze,sector 78,90 Lac,4615.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),3,3,2,1.0,,5 to 10 Year Old,,1950.0,1900.0,1854.0,0,1,0,1,0,0,65
flat,ss the leaf,sector 85,1.3 Crore,7779.0,Super Built up area 1671(155.24 sq.m.)Carpet area: 1169 sq.ft. (108.6 sq.m.),2,2,3+,16.0,East,1 to 5 Year Old,,1671.0,,1169.0,0,0,1,0,0,0,148
flat,imt view society,manesar,95 Lac,3653.0,Super Built up area 2600(241.55 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3,6.0,South-East,5 to 10 Year Old,,2600.0,,1900.0,0,1,0,0,0,0,81
flat,umang winter hills,sector 77,1 Crore,7500.0,Carpet area: 1340 (124.49 sq.m.),2,2,2,3.0,,0 to 1 Year Old,,,,1340.0,0,0,0,0,0,0,74
flat,shree arihant apartment,sector 54,1.5 Crore,8108.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,4.0,West,5 to 10 Year Old,,1850.0,1700.0,1550.0,0,0,0,1,0,1,75
house,emaar mgf marbella,sector 66,8.8,41615.0,Built Up area: 267 (223.25 sq.m.),4,4,3+,3.0,South-East,1 to 5 Year Old,2115.0,,267.0,,0,1,1,1,0,0,107
flat,bestech park view residency,sector 2,95 Lac,6713.0,Super Built up area 1415(131.46 sq.m.),2,2,3,1.0,North-East,5 to 10 Year Old,,1415.0,,,0,0,0,0,0,1,82
